"","hard","image","age","sex","income_ord","education_ord","nonresponse_choice_count","ResponseId"
"280",0,0,52,"Masculino",0,2,0,"R_ZsjvRmyoAb3ovsJ"
"281",0,0,72,"Masculino",2,3,0,"R_2S2Y3PAQKlRj2DS"
"283",1,1,68,"Feminino",2,3,0,"R_1n7RyKESnxEJlbT"
"284",1,1,69,"Masculino",2,3,0,"R_2zNMbx9JvdftxEx"
"285",1,1,59,"Masculino",2,2,0,"R_2TNt7HxybMnQp7u"
"286",1,1,59,"Masculino",2,NA,0,"R_w7bWIV1OIc9LlaF"
"287",0,0,27,"Masculino",0,2,0,"R_3qdrElsR94FDkeS"
"288",0,0,65,"Masculino",0,3,0,"R_Cm2wykMPGt0Hx3X"
"289",0,1,73,"Masculino",3,4,0,"R_Qh5GCCOo87TLUat"
"290",0,1,22,"Masculino",0,2,0,"R_3nDb2abcsrD7J6L"
"291",1,1,70,"Masculino",3,4,0,"R_1gkBxDk9oPhFbA8"
"292",0,1,27,"Masculino",0,3,0,"R_28YcbnMP3FnxGZV"
"293",1,1,66,"Feminino",0,1,0,"R_2zDcmcsGqAKjOnG"
"294",0,0,74,"Feminino",1,3,0,"R_32610acgjDlvlnW"
"295",0,0,80,"Masculino",0,3,0,"R_11bIbWs56cT9vm1"
"296",0,0,67,"Masculino",3,3,0,"R_2q7NP31NpglfQ2h"
"297",0,1,75,"Masculino",2,3,3,"R_2TSFe5v4fHQLKLm"
"298",0,1,66,"Masculino",4,3,0,"R_1GK6KDSmqUgKo7C"
"299",0,0,78,"Masculino",2,3,0,"R_2Eh4FVBegK8RoXq"
"300",0,1,72,"Masculino",2,3,0,"R_22SlF6ttUMfuWdc"
"301",1,1,73,"Masculino",2,3,0,"R_10vWBad8kLR4XFT"
"302",1,0,68,"Masculino",3,3,0,"R_1LGxDgjDnUdU7C3"
"303",0,1,56,"Feminino",1,3,0,"R_3sn9ktWWEYMgFH8"
"304",0,1,63,"Feminino",2,3,0,"R_2v8j7p4Ll5REsky"
"305",0,0,71,"Feminino",2,3,0,"R_3KVoL60jWQCnh39"
"306",0,1,65,"Masculino",1,3,1,"R_Z8E3MPwEpPpeAwN"
"308",0,1,68,"Masculino",0,3,3,"R_4UfrjUV4KnIrorf"
"309",0,1,67,"Feminino",0,3,0,"R_3fqsk8oFozyDp6C"
"310",1,1,67,"Masculino",1,2,0,"R_1jUtlPc15cQUfXi"
"311",1,1,65,"Masculino",2,3,0,"R_10IXzOZh1B759Pn"
"312",0,1,65,"Masculino",2,2,0,"R_C2kgkWA20Q2YeiJ"
"314",1,1,66,"Masculino",1,3,0,"R_2S6Nwnd0rliXPJK"
"315",0,0,65,"Masculino",1,2,0,"R_1igv7Ntz3IPTlXU"
"316",0,1,24,"Masculino",0,2,0,"R_27JQjNDwKbD406p"
"318",1,1,71,"Masculino",3,4,0,"R_1mlRR0J2s8imYe8"
"319",0,0,67,"Masculino",2,2,0,"R_1FJxGn8M0drPvsV"
"320",0,1,65,"Masculino",1,1,0,"R_1lavXHLP1jj7Z0S"
"321",1,1,23,"Feminino",0,2,0,"R_1mz9OZtn8Z7K5lS"
"322",1,1,41,"Feminino",0,2,0,"R_1r2Z207xS9LSlII"
"323",0,1,65,"Masculino",1,2,0,"R_9FVhSjk5TGLRcBj"
"324",1,1,81,"Feminino",0,3,0,"R_2fBvtau6JXOsNgF"
"325",1,1,69,"Masculino",1,3,0,"R_2RO1jY3FGKvheQy"
"326",1,1,67,"Masculino",2,3,2,"R_3stY5YzDTVoSIM8"
"327",0,1,67,"Feminino",1,2,0,"R_1pMToyH0IBm4AC5"
"328",1,1,70,"Masculino",2,2,0,"R_1pMZ9sPsJPqCqKp"
"329",0,1,69,"Masculino",1,2,0,"R_12K0VI1xnmrVO4M"
"330",0,1,18,"Feminino",0,2,0,"R_3siTHHAgZSqukCE"
"331",0,1,70,"Masculino",2,3,0,"R_3PZ9KLZwjMeGwGX"
"332",1,1,78,"Masculino",2,3,0,"R_1jEfLgDeTBA6af3"
"333",1,1,67,"Feminino",2,3,0,"R_1hya4t3qPDav9j2"
"334",0,1,24,"Feminino",0,2,0,"R_vxeZdPfqOMlveLf"
"335",0,1,78,"Feminino",3,1,0,"R_278akkQvv5le3fP"
"336",0,1,65,"Masculino",1,2,0,"R_0TGjUfsbDgeW68F"
"337",1,1,84,"Masculino",3,3,0,"R_0VxeJuwuxdWWKKR"
"338",0,1,69,"Masculino",1,2,0,"R_yD6cWAjyEqumauB"
"339",0,1,50,"Masculino",0,2,0,"R_2zeZorXuDlJepWK"
"340",0,1,79,"Masculino",1,1,0,"R_2b0JW4gKdkBgVfG"
"341",0,1,49,"Feminino",1,3,0,"R_3p5p3gPy1wr7uzX"
"342",1,1,69,"Masculino",2,2,0,"R_3Jb0XYN1PF4rV3G"
"343",1,1,65,"Masculino",0,2,0,"R_20OpKyDMkP0XgCZ"
"344",1,1,69,"Feminino",0,4,3,"R_2BnCSWOkww5KJJ8"
"345",0,0,19,"Masculino",0,2,0,"R_23efvVpUwPyHFNI"
"346",0,1,67,"Feminino",1,4,0,"R_278dO2FFr9yARfB"
"347",1,1,70,"Feminino",0,3,3,"R_2tzBlGIUXF6czwh"
"348",1,1,69,"Masculino",3,3,0,"R_2usqaAKl82Gxndv"
"349",0,1,66,"Masculino",3,4,0,"R_1P7cPAm24MXiCxe"
"350",1,1,70,"Feminino",2,1,2,"R_3KJZNdqH2OifPZA"
"351",0,1,81,"Masculino",1,3,3,"R_3HzFxiCeqMjVR1Z"
"352",1,0,55,"Masculino",0,1,3,"R_2sbXH5FPQ0VE9rZ"
"353",0,1,56,"Masculino",0,2,0,"R_3BQkfN5cnNEZB73"
"355",0,1,72,"Masculino",1,3,0,"R_1MYPVrp9CYQGNB5"
"356",0,0,68,"Masculino",2,3,0,"R_2UixoaRBATPUsc9"
"357",0,1,67,"Masculino",0,2,0,"R_W99M49leIeDTDRn"
"358",0,0,76,"Masculino",2,2,0,"R_3DjNkEr136NCKuK"
"359",1,1,68,"Feminino",0,3,0,"R_2eW2IVvlzSwRLp1"
"360",0,0,42,"Masculino",0,2,0,"R_3fjF3tMsyUgyeVJ"
